mol,SMILES_RESULT,Chemspace_ID,Product_type,Price_for_1_mg_pack__USD,Cheapest_pack_size,Cheapest_pack_cost__USD,Supplier,$File,SMILES_QUERY
CC1=C(NC(=O)C2=CNC(=N2)C(C)(C)C)C(O)=CC=C1,CC1=C(NC(=O)C2=CNC(=N2)C(C)(C)C)C(O)=CC=C1,CSRS8030123562455734704574981898496,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CCCC1=NNC=C1C(=O)NC1=CC=C(O)C(CO)=C1,CCCC1=NNC=C1C(=O)NC1=CC=C(O)C(CO)=C1,CSRS8030123562455734704574981898752,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CCCC1=CC(=NN1)C(=O)NC1=CC=C(O)C(CO)=C1,CCCC1=CC(=NN1)C(=O)NC1=CC=C(O)C(CO)=C1,CSRS8030123562455734704574981899008,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CCCC1=NNC=C1C(=O)NC1=CC=C(CO)C=C1O,CCCC1=NNC=C1C(=O)NC1=CC=C(CO)C=C1O,CSRS8030123562455734704574981899264,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CCCC1=CC(=NN1)C(=O)NC1=CC=C(CO)C=C1O,CCCC1=CC(=NN1)C(=O)NC1=CC=C(CO)C=C1O,CSRS8030123562455734704574981899520,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
CCCC1=NNC=C1C(=O)NC1=CC(CO)=CC=C1O,CCCC1=NNC=C1C(=O)NC1=CC(CO)=CC=C1O,CSRS8030123562455734704574981899776,REAL and Freedom Spaces structure,275,1 mg,275,Chemspace US Inc.,17018,O=C1NC(Nc2c(O)ccc(C)c2)=NC(CCC)=C1
O=S(=O)(NC1=CC=CC2=C1C=NN2)C1=CC=CC=C1,O=S(=O)(NC1=CC=CC2=C1C=NN2)C1=CC=CC=C1,CSRS8030144661989180166149797224448,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
O=S(=O)(NC1=CC=C2NN=CC2=C1)C1=CC=CC=C1,O=S(=O)(NC1=CC=C2NN=CC2=C1)C1=CC=CC=C1,CSRS8030144661989180166149797224704,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
O=S(=O)(NC1=CC=C2C=NNC2=C1)C1=CC=CC=C1,O=S(=O)(NC1=CC=C2C=NNC2=C1)C1=CC=CC=C1,CSRS8030144661989180166149797224960,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
O=S(=O)(NC1=CC=CC2=C1NN=C2)C1=CC=CC=C1,O=S(=O)(NC1=CC=CC2=C1NN=C2)C1=CC=CC=C1,CSRS8030144661989180166149797225216,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
O=S(=O)(NC1=CC=C2NC=NC2=C1)C1=CC=CC=C1,O=S(=O)(NC1=CC=C2NC=NC2=C1)C1=CC=CC=C1,CSRS8030144661989180166149797225472,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
O=S(=O)(NC1=CC=CC2=C1N=CN2)C1=CC=CC=C1,O=S(=O)(NC1=CC=CC2=C1N=CN2)C1=CC=CC=C1,CSRS8030144661989180166149797225728,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
FC1=NNC2=CC(NS(=O)(=O)C3=CC=CC=C3)=CC=C12,FC1=NNC2=CC(NS(=O)(=O)C3=CC=CC=C3)=CC=C12,CSRS8030144661989180166149797225984,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
FC1=CC=CC=C1S(=O)(=O)NC1=CC=CC2=C1C=NN2,FC1=CC=CC=C1S(=O)(=O)NC1=CC=CC2=C1C=NN2,CSRS8030144661989180166149797226240,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
FC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC2=C1C=NN2,FC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC2=C1C=NN2,CSRS8030144661989180166149797226496,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
FC1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC2=C1C=NN2,FC1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC2=C1C=NN2,CSRS8030144661989180166149797226752,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
FC1=CC(=CC=C1)S(=O)(=O)NC1=CC=C2NN=CC2=C1,FC1=CC(=CC=C1)S(=O)(=O)NC1=CC=C2NN=CC2=C1,CSRS8030144661989180166149797227008,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
FC1=CC(=CC=C1)S(=O)(=O)NC1=CC=C2C=NNC2=C1,FC1=CC(=CC=C1)S(=O)(=O)NC1=CC=C2C=NNC2=C1,CSRS8030144661989180166149797227264,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
FC1=CC=CC=C1S(=O)(=O)NC1=CC=C2NN=CC2=C1,FC1=CC=CC=C1S(=O)(=O)NC1=CC=C2NN=CC2=C1,CSRS8030144661989180166149797227520,REAL and Freedom Spaces structure,269,1 mg,269,Enamine Ltd,17080,S(=O)([O-])(=Nc1cc2n[nH]cc2cc1)c1ccccc1
